2025-01-03 14:43:04,891, Iteration, Mode, loss, accuracy
2025-01-03 14:43:05,763, 0, train, 2.252790, 0.505208
2025-01-03 14:43:06,366, 1, train, 2.295295, 0.169271
2025-01-03 14:43:06,666, 2, train, 2.296766, 0.330729
2025-01-03 14:43:07,558, 3, train, 2.303018, 0.039931
2025-01-03 14:43:08,154, 4, train, 2.305991, 0.007812
2025-01-03 14:43:08,750, 5, train, 2.312783, 0.013021
2025-01-03 14:43:09,314, 6, train, 2.286469, 0.015625
2025-01-03 14:43:10,140, 7, train, 2.298794, 0.025391
2025-01-03 14:43:10,848, 8, train, 2.281707, 0.155134
2025-01-03 14:43:11,327, 9, train, 2.265218, 0.010937
2025-01-03 14:43:12,025, 10, train, 2.297285, 0.027902
2025-01-03 14:43:12,502, 11, train, 2.281983, 0.010937
2025-01-03 14:43:13,255, 12, train, 2.331123, 0.057617
2025-01-03 14:43:13,456, 13, train, 2.355858, 0.000000
2025-01-03 14:43:13,856, 14, train, 2.347647, 0.000000
2025-01-03 14:43:14,255, 15, train, 2.341853, 0.048828
2025-01-03 14:43:15,137, 16, train, 2.300142, 0.046007
2025-01-03 14:43:15,513, 17, train, 2.289550, 0.000000
2025-01-03 14:43:16,090, 18, train, 2.276754, 0.000000
2025-01-03 14:43:16,440, 19, train, 2.320480, 0.214844
2025-01-03 14:43:17,192, 20, train, 2.309208, 0.115234
2025-01-03 14:43:17,997, 21, train, 2.248102, 0.330078
2025-01-03 14:43:18,898, 22, train, 2.341383, 0.083594
2025-01-03 14:43:19,197, 23, train, 2.314373, 0.208333
2025-01-03 14:43:19,724, 24, train, 2.342937, 0.088542
2025-01-03 14:43:21,162, 24, eval, 2.292343, 0.141699
2025-01-03 14:43:21,565, 25, train, 2.310363, 0.000000
2025-01-03 14:43:22,056, 26, train, 2.322834, 0.065625
2025-01-03 14:43:22,411, 27, train, 2.354265, 0.000000
2025-01-03 14:43:22,990, 28, train, 2.323051, 0.032552
2025-01-03 14:43:23,881, 29, train, 2.273925, 0.210069
2025-01-03 14:43:24,633, 30, train, 2.352176, 0.011719
2025-01-03 14:43:25,112, 31, train, 2.367643, 0.000000
2025-01-03 14:43:25,113, 32, train, nan, nan
2025-01-03 14:43:25,780, 33, train, 2.309831, 0.122768
2025-01-03 14:43:26,154, 34, train, 2.337624, 0.000000
2025-01-03 14:43:26,699, 35, train, 2.299594, 0.153646
2025-01-03 14:43:27,148, 36, train, 2.358469, 0.000000
2025-01-03 14:43:28,022, 37, train, 2.324578, 0.000781
2025-01-03 14:43:28,922, 38, train, 2.286474, 0.119792
2025-01-03 14:43:29,516, 39, train, 2.299431, 0.069010
2025-01-03 14:43:30,257, 40, train, 2.287626, 0.033203
2025-01-03 14:43:30,706, 41, train, 2.251747, 0.167187
2025-01-03 14:43:30,806, 42, train, 2.425189, 0.000000
2025-01-03 14:43:31,749, 43, train, 2.320927, 0.000000
2025-01-03 14:43:32,621, 44, train, 2.309057, 0.138889
2025-01-03 14:43:32,957, 45, train, 2.286620, 0.005859
