2025-01-02 23:41:45,562, Iteration, Mode, loss, accuracy
2025-01-02 23:41:50,723, 0, train, 2.274888, 0.220313
2025-01-02 23:41:50,987, 1, train, 2.236908, 0.285156
2025-01-02 23:41:51,600, 2, train, 2.283006, 0.197049
2025-01-02 23:41:52,072, 3, train, 2.292375, 0.148438
2025-01-02 23:41:52,474, 4, train, 2.244609, 0.257812
2025-01-02 23:41:52,771, 5, train, 2.350185, 0.000000
2025-01-02 23:41:53,278, 6, train, 2.279324, 0.075893
2025-01-02 23:41:53,639, 7, train, 2.262822, 0.175781
2025-01-02 23:41:54,971, 8, train, 2.286376, 0.003906
2025-01-02 23:41:55,416, 9, train, 2.293298, 0.122768
2025-01-02 23:41:55,731, 10, train, 2.211157, 0.364062
2025-01-02 23:41:56,227, 11, train, 2.280899, 0.225586
2025-01-02 23:41:56,353, 12, train, 2.377187, 0.000000
2025-01-02 23:41:56,546, 13, train, 2.391870, 0.067708
2025-01-02 23:41:56,824, 14, train, 2.204162, 0.224609
2025-01-02 23:41:57,436, 15, train, 2.356526, 0.000000
2025-01-02 23:41:57,803, 16, train, 2.358514, 0.147135
2025-01-02 23:41:58,226, 17, train, 2.372286, 0.121652
2025-01-02 23:41:58,452, 18, train, 2.329692, 0.207031
2025-01-02 23:41:59,113, 19, train, 2.304104, 0.186198
2025-01-02 23:41:59,520, 20, train, 2.292134, 0.245536
2025-01-02 23:42:00,156, 21, train, 2.309042, 0.080256
2025-01-02 23:42:00,398, 22, train, 2.254178, 0.220703
2025-01-02 23:42:00,737, 23, train, 2.288990, 0.136719
2025-01-02 23:42:01,061, 24, train, 2.316339, 0.001302
2025-01-02 23:42:02,414, 24, eval, 2.288568, 0.117090
2025-01-02 23:42:02,737, 25, train, 2.226806, 0.185937
2025-01-02 23:42:03,122, 26, train, 2.339413, 0.031250
2025-01-02 23:42:03,441, 27, train, 2.303037, 0.070312
2025-01-02 23:42:03,986, 28, train, 2.305578, 0.128125
2025-01-02 23:42:04,442, 29, train, 2.308094, 0.111607
2025-01-02 23:42:04,793, 30, train, 2.348249, 0.052083
2025-01-02 23:42:04,859, 31, train, 2.267532, 0.226562
2025-01-02 23:42:05,246, 32, train, 2.286972, 0.089286
2025-01-02 23:42:05,653, 33, train, 2.275979, 0.114583
2025-01-02 23:42:05,922, 34, train, 2.337232, 0.013672
2025-01-02 23:42:06,326, 35, train, 2.245949, 0.224330
2025-01-02 23:42:06,791, 36, train, 2.321728, 0.055288
2025-01-02 23:42:07,292, 37, train, 2.285862, 0.099826
2025-01-02 23:42:07,624, 38, train, 2.266643, 0.148237
2025-01-02 23:42:08,247, 39, train, 2.265358, 0.125781
2025-01-02 23:42:08,462, 40, train, 2.252121, 0.097656
2025-01-02 23:42:08,571, 41, train, 2.337245, 0.031250
2025-01-02 23:42:09,131, 42, train, 2.273654, 0.121875
2025-01-02 23:42:09,481, 43, train, 2.239102, 0.229167
2025-01-02 23:42:09,723, 44, train, 2.257267, 0.156250
2025-01-02 23:42:10,144, 45, train, 2.288950, 0.213170
2025-01-02 23:42:10,581, 46, train, 2.212647, 0.235491
2025-01-02 23:42:10,822, 47, train, 2.165042, 0.296875
2025-01-02 23:42:11,372, 48, train, 2.233416, 0.202825
2025-01-02 23:42:11,698, 49, train, 2.136212, 0.326823
2025-01-02 23:42:13,004, 49, eval, 2.246457, 0.122852
2025-01-02 23:42:13,410, 50, train, 2.175458, 0.269531
2025-01-02 23:42:13,778, 51, train, 2.281272, 0.061041
2025-01-02 23:42:14,181, 52, train, 2.250413, 0.138393
