2025-01-03 18:56:09,791, Iteration, Mode, loss, accuracy
2025-01-03 18:56:10,607, 0, train, 2.289862, 0.015625
2025-01-03 18:56:11,203, 1, train, 2.315863, 0.203125
2025-01-03 18:56:11,497, 2, train, 2.182681, 0.593750
2025-01-03 18:56:12,381, 3, train, 2.197412, 0.257812
2025-01-03 18:56:12,970, 4, train, 2.301051, 0.148438
2025-01-03 18:56:13,559, 5, train, 2.295139, 0.127604
2025-01-03 18:56:14,060, 6, train, 2.210591, 0.181250
2025-01-03 18:56:14,860, 7, train, 2.242323, 0.224609
2025-01-03 18:56:15,556, 8, train, 2.225316, 0.261161
2025-01-03 18:56:16,026, 9, train, 2.145341, 0.000000
2025-01-03 18:56:16,710, 10, train, 2.195079, 0.128348
2025-01-03 18:56:17,180, 11, train, 2.181792, 0.206250
2025-01-03 18:56:17,919, 12, train, 2.364887, 0.000977
2025-01-03 18:56:18,116, 13, train, 2.378758, 0.207031
2025-01-03 18:56:18,511, 14, train, 2.322478, 0.136719
2025-01-03 18:56:18,904, 15, train, 2.241667, 0.240234
2025-01-03 18:56:19,758, 16, train, 2.309120, 0.099826
2025-01-03 18:56:20,127, 17, train, 2.233724, 0.400391
2025-01-03 18:56:20,691, 18, train, 2.280553, 0.011719
2025-01-03 18:56:21,037, 19, train, 2.344507, 0.201923
2025-01-03 18:56:21,771, 20, train, 2.303331, 0.112305
2025-01-03 18:56:22,553, 21, train, 2.267352, 0.110352
2025-01-03 18:56:23,445, 22, train, 2.195535, 0.302344
2025-01-03 18:56:23,737, 23, train, 2.081319, 0.286458
2025-01-03 18:56:24,253, 24, train, 2.260793, 0.153646
2025-01-03 18:56:25,669, 24, eval, 2.301809, 0.099121
2025-01-03 18:56:26,065, 25, train, 2.373832, 0.000000
2025-01-03 18:56:26,535, 26, train, 2.211979, 0.173438
2025-01-03 18:56:26,881, 27, train, 2.338175, 0.000000
2025-01-03 18:56:27,449, 28, train, 2.240851, 0.149740
2025-01-03 18:56:28,307, 29, train, 2.295773, 0.100694
2025-01-03 18:56:29,049, 30, train, 2.255322, 0.109375
2025-01-03 18:56:29,517, 31, train, 2.200175, 0.120312
2025-01-03 18:56:29,616, 32, train, 2.349308, 0.000000
2025-01-03 18:56:30,257, 33, train, 2.315676, 0.132812
2025-01-03 18:56:30,629, 34, train, 2.315099, 0.000000
2025-01-03 18:56:31,173, 35, train, 2.259353, 0.147135
2025-01-03 18:56:31,617, 36, train, 2.177876, 0.349038
2025-01-03 18:56:32,479, 37, train, 2.249620, 0.028906
2025-01-03 18:56:33,360, 38, train, 2.235001, 0.151042
2025-01-03 18:56:33,924, 39, train, 2.346653, 0.156250
