2025-01-03 01:50:38,577, Iteration, Mode, loss, accuracy
2025-01-03 01:50:39,134, 0, train, 2.294354, 0.037500
2025-01-03 01:50:39,357, 1, train, 2.267034, 0.306641
2025-01-03 01:50:39,839, 2, train, 2.302277, 0.099826
2025-01-03 01:50:40,218, 3, train, 2.282626, 0.261161
2025-01-03 01:50:40,543, 4, train, 2.300718, 0.143229
2025-01-03 01:50:40,848, 5, train, 2.310439, 0.021875
2025-01-03 01:50:41,227, 6, train, 2.282506, 0.123884
2025-01-03 01:50:41,546, 7, train, 2.292953, 0.261719
2025-01-03 01:50:41,958, 8, train, 2.278848, 0.154948
2025-01-03 01:50:42,340, 9, train, 2.288720, 0.065848
2025-01-03 01:50:42,593, 10, train, 2.248912, 0.356250
2025-01-03 01:50:43,010, 11, train, 2.285944, 0.226562
2025-01-03 01:50:43,121, 12, train, 2.331025, 0.000000
2025-01-03 01:50:43,274, 13, train, 2.300107, 0.067708
2025-01-03 01:50:43,486, 14, train, 2.272068, 0.224609
2025-01-03 01:50:44,004, 15, train, 2.314167, 0.003125
2025-01-03 01:50:44,324, 16, train, 2.304371, 0.145833
2025-01-03 01:50:44,698, 17, train, 2.283518, 0.126116
2025-01-03 01:50:44,900, 18, train, 2.337803, 0.001953
2025-01-03 01:50:45,222, 19, train, 2.298188, 0.011719
2025-01-03 01:50:45,586, 20, train, 2.310798, 0.046875
2025-01-03 01:50:46,150, 21, train, 2.291927, 0.138494
2025-01-03 01:50:46,366, 22, train, 2.233981, 0.480469
2025-01-03 01:50:46,688, 23, train, 2.315592, 0.007812
2025-01-03 01:50:46,999, 24, train, 2.289498, 0.065104
2025-01-03 01:50:48,024, 24, eval, 2.296527, 0.105469
2025-01-03 01:50:48,300, 25, train, 2.276402, 0.175000
2025-01-03 01:50:48,648, 26, train, 2.321495, 0.097098
2025-01-03 01:50:48,931, 27, train, 2.318353, 0.069010
2025-01-03 01:50:49,457, 28, train, 2.279406, 0.235938
2025-01-03 01:50:49,814, 29, train, 2.306406, 0.012277
2025-01-03 01:50:50,144, 30, train, 2.290619, 0.071615
2025-01-03 01:50:50,198, 31, train, 2.287132, 0.250000
2025-01-03 01:50:50,560, 32, train, 2.288318, 0.117188
2025-01-03 01:50:50,867, 33, train, 2.283591, 0.074219
2025-01-03 01:50:51,079, 34, train, 2.319548, 0.007812
2025-01-03 01:50:51,447, 35, train, 2.284893, 0.207589
2025-01-03 01:50:51,876, 36, train, 2.277938, 0.101863
2025-01-03 01:50:52,354, 37, train, 2.290952, 0.107639
2025-01-03 01:50:52,656, 38, train, 2.305170, 0.149038
2025-01-03 01:50:53,277, 39, train, 2.265449, 0.200000
2025-01-03 01:50:53,482, 40, train, 2.296179, 0.166016
2025-01-03 01:50:53,590, 41, train, 2.261262, 0.125000
2025-01-03 01:50:54,105, 42, train, 2.263992, 0.180469
2025-01-03 01:50:54,470, 43, train, 2.321272, 0.062500
2025-01-03 01:50:54,676, 44, train, 2.287206, 0.228516
2025-01-03 01:50:55,049, 45, train, 2.261721, 0.151786
2025-01-03 01:50:55,420, 46, train, 2.276058, 0.287946
2025-01-03 01:50:55,681, 47, train, 2.219851, 0.369141
2025-01-03 01:50:56,217, 48, train, 2.268301, 0.247476
2025-01-03 01:50:56,521, 49, train, 2.216967, 0.334635
2025-01-03 01:50:57,409, 49, eval, 2.285306, 0.119824
2025-01-03 01:50:57,722, 50, train, 2.271250, 0.231771
2025-01-03 01:50:58,051, 51, train, 2.267142, 0.084049
2025-01-03 01:50:58,422, 52, train, 2.223380, 0.141741
2025-01-03 01:50:58,901, 53, train, 2.310885, 0.044271
2025-01-03 01:50:59,199, 54, train, 2.292882, 0.072817
2025-01-03 01:50:59,513, 55, train, 2.259227, 0.143229
2025-01-03 01:50:59,940, 56, train, 2.236105, 0.093750
2025-01-03 01:51:00,364, 57, train, 2.275144, 0.248047
2025-01-03 01:51:00,791, 58, train, 2.257399, 0.138672
2025-01-03 01:51:00,961, 59, train, 2.211384, 0.119792
2025-01-03 01:51:01,113, 60, train, 2.212950, 0.304688
2025-01-03 01:51:01,516, 61, train, 2.267041, 0.118765
2025-01-03 01:51:01,870, 62, train, 2.322917, 0.079670
2025-01-03 01:51:02,339, 63, train, 2.279251, 0.099559
2025-01-03 01:51:02,749, 64, train, 2.270018, 0.137695
2025-01-03 01:51:03,067, 65, train, 2.255300, 0.136719
2025-01-03 01:51:03,527, 66, train, 2.330767, 0.127604
2025-01-03 01:51:03,894, 67, train, 2.276837, 0.172734
2025-01-03 01:51:03,951, 68, train, 2.277181, 0.015625
2025-01-03 01:51:04,164, 69, train, 2.215922, 0.184195
2025-01-03 01:51:04,430, 70, train, 2.247167, 0.157813
2025-01-03 01:51:04,870, 71, train, 2.243747, 0.180664
2025-01-03 01:51:05,191, 72, train, 2.262679, 0.061198
2025-01-03 01:51:05,520, 73, train, 2.274295, 0.152344
2025-01-03 01:51:05,891, 74, train, 2.244284, 0.178142
2025-01-03 01:51:06,816, 74, eval, 2.254670, 0.151562
2025-01-03 01:51:07,059, 75, train, 2.174278, 0.327885
2025-01-03 01:51:07,226, 76, train, 2.345915, 0.000000
2025-01-03 01:51:07,754, 77, train, 2.292976, 0.112500
2025-01-03 01:51:08,081, 78, train, 2.265470, 0.115885
2025-01-03 01:51:08,346, 79, train, 2.199678, 0.262500
2025-01-03 01:51:08,711, 80, train, 2.262328, 0.168527
2025-01-03 01:51:08,970, 81, train, 2.239610, 0.239543
2025-01-03 01:51:09,287, 82, train, 2.199924, 0.235677
2025-01-03 01:51:09,504, 83, train, 2.218171, 0.160156
2025-01-03 01:51:09,915, 84, train, 2.251399, 0.168945
2025-01-03 01:51:10,356, 85, train, 2.222881, 0.146484
2025-01-03 01:51:10,520, 86, train, 2.278002, 0.005208
2025-01-03 01:51:10,622, 87, train, 2.132745, 0.324219
2025-01-03 01:51:10,923, 88, train, 2.233238, 0.244291
2025-01-03 01:51:11,237, 89, train, 2.179585, 0.307292
2025-01-03 01:51:11,494, 90, train, 2.212194, 0.237019
2025-01-03 01:51:11,997, 91, train, 2.137825, 0.262500
2025-01-03 01:51:12,600, 92, train, 2.208266, 0.179036
2025-01-03 01:51:12,804, 93, train, 2.133447, 0.267578
2025-01-03 01:51:13,015, 94, train, 2.184478, 0.185547
2025-01-03 01:51:13,274, 95, train, 2.256842, 0.045313
2025-01-03 01:51:13,917, 96, train, 2.232431, 0.159906
2025-01-03 01:51:14,111, 97, train, 2.230970, 0.075571
2025-01-03 01:51:14,471, 98, train, 2.237082, 0.247768
2025-01-03 01:51:14,697, 99, train, 2.188276, 0.339844
2025-01-03 01:51:15,622, 99, eval, 2.199379, 0.223535
2025-01-03 01:51:15,976, 100, train, 2.162111, 0.214286
2025-01-03 01:51:16,297, 101, train, 2.105478, 0.333333
2025-01-03 01:51:16,838, 102, train, 2.169686, 0.258594
2025-01-03 01:51:17,065, 103, train, 2.058285, 0.353516
2025-01-03 01:51:17,439, 104, train, 2.073873, 0.439732
2025-01-03 01:51:17,709, 105, train, 2.207863, 0.234375
2025-01-03 01:51:17,975, 106, train, 2.165359, 0.271875
2025-01-03 01:51:18,367, 107, train, 2.112797, 0.301339
2025-01-03 01:51:18,611, 108, train, 2.085618, 0.261719
2025-01-03 01:51:18,939, 109, train, 2.163635, 0.214844
2025-01-03 01:51:19,477, 110, train, 2.073031, 0.273438
2025-01-03 01:51:19,793, 111, train, 2.166387, 0.161458
2025-01-03 01:51:20,089, 112, train, 2.153500, 0.170573
2025-01-03 01:51:20,398, 113, train, 2.136813, 0.251563
2025-01-03 01:51:20,720, 114, train, 2.118330, 0.323117
2025-01-03 01:51:20,827, 115, train, 1.811318, 0.667969
2025-01-03 01:51:21,149, 116, train, 2.047267, 0.214844
2025-01-03 01:51:21,409, 117, train, 2.222930, 0.167187
2025-01-03 01:51:21,726, 118, train, 1.961324, 0.313802
2025-01-03 01:51:21,967, 119, train, 2.018960, 0.364183
2025-01-03 01:51:22,321, 120, train, 2.057229, 0.251116
2025-01-03 01:51:22,614, 121, train, 1.960186, 0.281350
2025-01-03 01:51:23,034, 122, train, 2.042449, 0.283879
2025-01-03 01:51:23,299, 123, train, 2.078771, 0.303125
2025-01-03 01:51:23,663, 124, train, 1.949988, 0.300223
2025-01-03 01:51:24,594, 124, eval, 2.151548, 0.221387
2025-01-03 01:51:24,697, 125, train, 2.145365, 0.132812
2025-01-03 01:51:25,064, 126, train, 2.099520, 0.339801
2025-01-03 01:51:25,637, 127, train, 2.024639, 0.272563
2025-01-03 01:51:25,955, 128, train, 1.915331, 0.371094
2025-01-03 01:51:26,282, 129, train, 1.747824, 0.496595
2025-01-03 01:51:26,580, 130, train, 2.269602, 0.074219
2025-01-03 01:51:26,891, 131, train, 1.854731, 0.347957
2025-01-03 01:51:27,096, 132, train, 1.930960, 0.379507
2025-01-03 01:51:27,679, 133, train, 2.096842, 0.257102
2025-01-03 01:51:28,149, 134, train, 2.117590, 0.167935
2025-01-03 01:51:28,505, 135, train, 2.098839, 0.206387
2025-01-03 01:51:28,805, 136, train, 1.860083, 0.391927
2025-01-03 01:51:29,350, 137, train, 2.002726, 0.262500
2025-01-03 01:51:29,611, 138, train, 1.932252, 0.365986
2025-01-03 01:51:30,011, 139, train, 1.894102, 0.341518
2025-01-03 01:51:30,431, 140, train, 1.861741, 0.282227
2025-01-03 01:51:30,746, 141, train, 2.005208, 0.313802
2025-01-03 01:51:31,065, 142, train, 2.168817, 0.167668
2025-01-03 01:51:31,338, 143, train, 2.081809, 0.162500
2025-01-03 01:51:31,690, 144, train, 2.182192, 0.092977
2025-01-03 01:51:32,296, 145, train, 1.961637, 0.325284
2025-01-03 01:51:32,454, 146, train, 2.112006, 0.229167
2025-01-03 01:51:32,799, 147, train, 1.900715, 0.382898
2025-01-03 01:51:33,338, 148, train, 2.016179, 0.286719
2025-01-03 01:51:33,869, 149, train, 2.029104, 0.264844
2025-01-03 01:51:34,798, 149, eval, 2.054344, 0.226270
2025-01-03 01:51:35,082, 150, train, 2.033999, 0.268750
2025-01-03 01:51:35,348, 151, train, 2.058285, 0.304688
2025-01-03 01:51:35,657, 152, train, 1.905831, 0.352063
2025-01-03 01:51:36,122, 153, train, 2.042015, 0.288194
2025-01-03 01:51:36,712, 154, train, 1.793044, 0.420291
2025-01-03 01:51:37,003, 155, train, 2.091336, 0.252003
2025-01-03 01:51:37,376, 156, train, 1.757267, 0.454584
2025-01-03 01:51:37,662, 157, train, 1.897926, 0.335136
2025-01-03 01:51:38,154, 158, train, 1.652858, 0.464844
2025-01-03 01:51:38,413, 159, train, 2.180907, 0.153125
2025-01-03 01:51:38,678, 160, train, 2.085838, 0.287500
2025-01-03 01:51:39,058, 161, train, 2.076599, 0.103795
2025-01-03 01:51:39,470, 162, train, 1.993568, 0.310547
2025-01-03 01:51:39,894, 163, train, 2.000080, 0.232422
2025-01-03 01:51:40,376, 164, train, 1.927785, 0.353299
2025-01-03 01:51:40,714, 165, train, 1.857736, 0.361951
2025-01-03 01:51:41,135, 166, train, 2.052405, 0.228516
2025-01-03 01:51:41,444, 167, train, 1.970297, 0.312500
2025-01-03 01:51:41,597, 168, train, 1.871272, 0.416667
2025-01-03 01:51:42,105, 169, train, 1.949554, 0.257812
2025-01-03 01:51:42,666, 170, train, 2.000597, 0.276661
2025-01-03 01:51:42,983, 171, train, 1.957259, 0.292969
2025-01-03 01:51:43,369, 172, train, 1.963408, 0.255838
2025-01-03 01:51:43,708, 173, train, 2.032616, 0.289062
2025-01-03 01:51:44,052, 174, train, 1.972405, 0.236607
2025-01-03 01:51:44,951, 174, eval, 2.010654, 0.279785
2025-01-03 01:51:45,091, 175, train, 1.953574, 0.404647
2025-01-03 01:51:45,402, 176, train, 1.811790, 0.501302
2025-01-03 01:51:45,962, 177, train, 1.915208, 0.273929
2025-01-03 01:51:46,452, 178, train, 1.970261, 0.240451
2025-01-03 01:51:46,720, 179, train, 1.921437, 0.293750
2025-01-03 01:51:46,932, 180, train, 1.761248, 0.539062
2025-01-03 01:51:47,410, 181, train, 1.898266, 0.319044
2025-01-03 01:51:47,606, 182, train, 2.136411, 0.106971
2025-01-03 01:51:48,007, 183, train, 1.926628, 0.327148
2025-01-03 01:51:48,272, 184, train, 1.730696, 0.436538
2025-01-03 01:51:48,530, 185, train, 1.928329, 0.235938
2025-01-03 01:51:48,741, 186, train, 1.832714, 0.390625
2025-01-03 01:51:49,123, 187, train, 1.933553, 0.222098
2025-01-03 01:51:49,278, 188, train, 1.893116, 0.359375
2025-01-03 01:51:49,701, 189, train, 1.874270, 0.359826
2025-01-03 01:51:50,008, 190, train, 1.996457, 0.257812
2025-01-03 01:51:50,412, 191, train, 1.845736, 0.383564
2025-01-03 01:51:50,686, 192, train, 1.727561, 0.375000
2025-01-03 01:51:51,016, 193, train, 2.134904, 0.221354
2025-01-03 01:51:51,297, 194, train, 1.701373, 0.489062
2025-01-03 01:51:51,783, 195, train, 2.018972, 0.244792
2025-01-03 01:51:52,291, 196, train, 1.869542, 0.362079
2025-01-03 01:51:52,403, 197, train, 1.984668, 0.375000
2025-01-03 01:51:52,803, 198, train, 1.976865, 0.348107
2025-01-03 01:51:53,252, 199, train, 1.686985, 0.465402
2025-01-03 01:51:54,200, 199, eval, 2.057540, 0.223535
2025-01-03 01:51:54,516, 200, train, 1.800192, 0.352564
2025-01-03 01:51:54,728, 201, train, 1.776678, 0.431641
2025-01-03 01:51:55,033, 202, train, 1.949381, 0.304587
2025-01-03 01:51:55,193, 203, train, 1.631841, 0.471354
2025-01-03 01:51:55,518, 204, train, 1.547370, 0.574219
2025-01-03 01:51:55,910, 205, train, 1.832609, 0.316964
2025-01-03 01:51:56,344, 206, train, 2.061327, 0.182617
2025-01-03 01:51:56,682, 207, train, 1.848491, 0.379636
2025-01-03 01:51:56,993, 208, train, 1.776130, 0.449219
2025-01-03 01:51:57,552, 209, train, 2.015024, 0.196733
2025-01-03 01:51:57,817, 210, train, 1.859650, 0.317187
2025-01-03 01:51:58,185, 211, train, 1.913531, 0.321429
2025-01-03 01:51:58,654, 212, train, 1.909361, 0.321047
2025-01-03 01:51:58,976, 213, train, 1.923348, 0.286458
2025-01-03 01:51:59,176, 214, train, 1.823148, 0.413612
2025-01-03 01:51:59,536, 215, train, 1.727068, 0.482916
2025-01-03 01:51:59,737, 216, train, 2.062886, 0.208984
2025-01-03 01:52:00,212, 217, train, 1.843193, 0.355369
2025-01-03 01:52:00,480, 218, train, 1.566212, 0.583053
2025-01-03 01:52:00,698, 219, train, 1.870056, 0.388672
2025-01-03 01:52:01,176, 220, train, 1.581265, 0.484375
2025-01-03 01:52:01,586, 221, train, 1.826365, 0.337740
2025-01-03 01:52:02,114, 222, train, 1.792474, 0.346875
2025-01-03 01:52:02,378, 223, train, 1.638824, 0.442187
2025-01-03 01:52:02,736, 224, train, 1.984110, 0.216518
2025-01-03 01:52:03,635, 224, eval, 1.996399, 0.266504
2025-01-03 01:52:03,922, 225, train, 1.972335, 0.255609
2025-01-03 01:52:04,222, 226, train, 1.927808, 0.306250
2025-01-03 01:52:04,433, 227, train, 1.895075, 0.328125
2025-01-03 01:52:04,823, 228, train, 1.881546, 0.264949
2025-01-03 01:52:04,983, 229, train, 2.017497, 0.171875
2025-01-03 01:52:05,254, 230, train, 1.833094, 0.310457
2025-01-03 01:52:05,639, 231, train, 2.014352, 0.248884
2025-01-03 01:52:06,122, 232, train, 1.849681, 0.374132
2025-01-03 01:52:06,568, 233, train, 1.560120, 0.417969
2025-01-03 01:52:07,004, 234, train, 1.801058, 0.426758
2025-01-03 01:52:07,362, 235, train, 1.817256, 0.379636
2025-01-03 01:52:07,752, 236, train, 2.005936, 0.256696
2025-01-03 01:52:08,026, 237, train, 1.940200, 0.201562
2025-01-03 01:52:08,240, 238, train, 1.897232, 0.354117
2025-01-03 01:52:08,672, 239, train, 1.893023, 0.299805
2025-01-03 01:52:08,945, 240, train, 1.727014, 0.334375
2025-01-03 01:52:09,354, 241, train, 1.791390, 0.431490
2025-01-03 01:52:09,719, 242, train, 2.020820, 0.236607
2025-01-03 01:52:09,916, 243, train, 1.727998, 0.442909
2025-01-03 01:52:10,271, 244, train, 1.863012, 0.318080
2025-01-03 01:52:10,531, 245, train, 1.911079, 0.236779
2025-01-03 01:52:10,741, 246, train, 1.801006, 0.378906
2025-01-03 01:52:11,056, 247, train, 1.597391, 0.457031
2025-01-03 01:52:11,520, 248, train, 1.966445, 0.322917
2025-01-03 01:52:11,947, 249, train, 1.813640, 0.347656
2025-01-03 01:52:12,860, 249, eval, 1.987776, 0.262109
2025-01-03 01:52:13,282, 250, train, 1.954706, 0.246094
2025-01-03 01:52:13,542, 251, train, 1.792836, 0.351562
2025-01-03 01:52:13,912, 252, train, 1.939749, 0.291295
2025-01-03 01:52:14,296, 253, train, 1.799881, 0.453125
2025-01-03 01:52:14,395, 254, train, 2.000195, 0.210938
2025-01-03 01:52:14,812, 255, train, 1.939153, 0.269531
2025-01-03 01:52:15,227, 256, train, 1.835091, 0.331055
2025-01-03 01:52:15,702, 257, train, 1.796758, 0.344618
2025-01-03 01:52:16,113, 258, train, 1.636351, 0.469727
2025-01-03 01:52:16,370, 259, train, 1.827201, 0.329087
2025-01-03 01:52:16,691, 260, train, 1.627966, 0.418069
2025-01-03 01:52:17,058, 261, train, 1.812737, 0.400670
2025-01-03 01:52:17,356, 262, train, 1.736425, 0.402544
2025-01-03 01:52:17,728, 263, train, 1.898549, 0.292497
2025-01-03 01:52:18,158, 264, train, 1.796292, 0.434570
2025-01-03 01:52:18,393, 265, train, 1.700111, 0.412109
2025-01-03 01:52:18,538, 266, train, 1.533863, 0.582933
2025-01-03 01:52:18,737, 267, train, 1.567273, 0.458083
2025-01-03 01:52:19,121, 268, train, 2.032674, 0.223386
2025-01-03 01:52:19,380, 269, train, 1.768670, 0.423077
2025-01-03 01:52:19,693, 270, train, 1.816244, 0.365184
2025-01-03 01:52:19,801, 271, train, 1.798076, 0.347656
2025-01-03 01:52:20,115, 272, train, 1.855384, 0.285156
2025-01-03 01:52:20,397, 273, train, 1.584534, 0.478666
2025-01-03 01:52:20,456, 274, train, 1.697316, 0.554688
2025-01-03 01:52:21,381, 274, eval, 1.943079, 0.262988
2025-01-03 01:52:21,610, 275, train, 1.660645, 0.343149
2025-01-03 01:52:21,925, 276, train, 1.991539, 0.266927
2025-01-03 01:52:22,125, 277, train, 1.551207, 0.559495
2025-01-03 01:52:22,392, 278, train, 1.833165, 0.281851
2025-01-03 01:52:22,898, 279, train, 1.723161, 0.420312
2025-01-03 01:52:23,276, 280, train, 1.931987, 0.262448
2025-01-03 01:52:23,721, 281, train, 1.756923, 0.413086
2025-01-03 01:52:24,298, 282, train, 1.748801, 0.355332
2025-01-03 01:52:24,777, 283, train, 1.961798, 0.274372
2025-01-03 01:52:25,200, 284, train, 1.697600, 0.408203
2025-01-03 01:52:25,358, 285, train, 1.699320, 0.383413
2025-01-03 01:52:25,724, 286, train, 1.874575, 0.359804
2025-01-03 01:52:25,997, 287, train, 1.914775, 0.321875
2025-01-03 01:52:26,250, 288, train, 1.745120, 0.394231
2025-01-03 01:52:26,724, 289, train, 1.696847, 0.472089
2025-01-03 01:52:26,937, 290, train, 1.659632, 0.462891
2025-01-03 01:52:27,092, 291, train, 1.698934, 0.486979
2025-01-03 01:52:27,251, 292, train, 1.675350, 0.382812
2025-01-03 01:52:27,500, 293, train, 1.898813, 0.321875
2025-01-03 01:52:27,965, 294, train, 1.800251, 0.367188
2025-01-03 01:52:28,561, 295, train, 1.737628, 0.349432
2025-01-03 01:52:28,769, 296, train, 1.760015, 0.400391
2025-01-03 01:52:28,973, 297, train, 1.839933, 0.257812
2025-01-03 01:52:29,290, 298, train, 1.585485, 0.511719
2025-01-03 01:52:29,669, 299, train, 1.525871, 0.515625
2025-01-03 01:52:30,606, 299, eval, 1.969499, 0.258887
2025-01-03 01:52:30,887, 300, train, 1.777904, 0.359375
2025-01-03 01:52:31,000, 301, train, 1.527350, 0.550781
2025-01-03 01:52:31,333, 302, train, 1.814873, 0.341146
2025-01-03 01:52:31,539, 303, train, 1.456021, 0.617188
2025-01-03 01:52:31,918, 304, train, 1.708367, 0.394660
2025-01-03 01:52:32,123, 305, train, 1.603527, 0.474609
2025-01-03 01:52:32,487, 306, train, 1.770223, 0.312843
2025-01-03 01:52:32,723, 307, train, 1.873925, 0.333413
2025-01-03 01:52:32,984, 308, train, 1.794526, 0.473437
2025-01-03 01:52:33,212, 309, train, 1.615869, 0.455078
2025-01-03 01:52:33,377, 310, train, 1.799102, 0.338542
2025-01-03 01:52:33,684, 311, train, 1.692503, 0.416667
2025-01-03 01:52:34,058, 312, train, 1.856374, 0.282366
2025-01-03 01:52:34,418, 313, train, 1.643916, 0.472098
2025-01-03 01:52:34,928, 314, train, 1.740543, 0.381250
2025-01-03 01:52:35,389, 315, train, 1.670584, 0.435029
2025-01-03 01:52:35,696, 316, train, 1.609648, 0.414062
2025-01-03 01:52:36,103, 317, train, 1.625248, 0.346605
2025-01-03 01:52:36,365, 318, train, 1.850746, 0.346875
2025-01-03 01:52:36,470, 319, train, 1.730397, 0.414062
2025-01-03 01:52:36,840, 320, train, 1.730619, 0.441964
2025-01-03 01:52:37,173, 321, train, 1.542410, 0.494792
2025-01-03 01:52:37,548, 322, train, 1.742606, 0.409598
2025-01-03 01:52:37,891, 323, train, 1.765866, 0.409770
2025-01-03 01:52:38,098, 324, train, 1.832973, 0.291016
2025-01-03 01:52:38,996, 324, eval, 1.872216, 0.300391
2025-01-03 01:52:39,313, 325, train, 1.744885, 0.343750
2025-01-03 01:52:39,774, 326, train, 1.686483, 0.441840
2025-01-03 01:52:40,078, 327, train, 1.601147, 0.502404
2025-01-03 01:52:40,358, 328, train, 1.670654, 0.368750
2025-01-03 01:52:40,678, 329, train, 1.541333, 0.506510
2025-01-03 01:52:40,826, 330, train, 1.853714, 0.324920
2025-01-03 01:52:41,040, 331, train, 1.649052, 0.451172
2025-01-03 01:52:41,622, 332, train, 1.493136, 0.508632
2025-01-03 01:52:41,622, 333, train, nan, nan
2025-01-03 01:52:41,985, 334, train, 1.695449, 0.399554
2025-01-03 01:52:42,510, 335, train, 1.785334, 0.375421
2025-01-03 01:52:42,882, 336, train, 1.771420, 0.372768
2025-01-03 01:52:43,076, 337, train, 1.821655, 0.420072
2025-01-03 01:52:43,370, 338, train, 1.754714, 0.346655
2025-01-03 01:52:43,693, 339, train, 1.624238, 0.488281
2025-01-03 01:52:44,107, 340, train, 1.740672, 0.370536
2025-01-03 01:52:44,333, 341, train, 1.538834, 0.412109
2025-01-03 01:52:44,907, 342, train, 1.609349, 0.444985
2025-01-03 01:52:45,279, 343, train, 1.703610, 0.418527
2025-01-03 01:52:45,664, 344, train, 1.722150, 0.315848
2025-01-03 01:52:45,928, 345, train, 1.611092, 0.475000
2025-01-03 01:52:46,220, 346, train, 1.661966, 0.456831
2025-01-03 01:52:46,441, 347, train, 1.409074, 0.615234
2025-01-03 01:52:46,442, 348, train, nan, nan
2025-01-03 01:52:46,936, 349, train, 1.561884, 0.445072
2025-01-03 01:52:47,867, 349, eval, 1.880067, 0.302832
2025-01-03 01:52:48,301, 350, train, 1.446752, 0.509991
2025-01-03 01:52:48,640, 351, train, 1.756819, 0.359890
2025-01-03 01:52:49,022, 352, train, 1.636714, 0.366844
2025-01-03 01:52:49,394, 353, train, 1.747063, 0.399554
2025-01-03 01:52:49,449, 354, train, 1.721594, 0.398438
2025-01-03 01:52:49,666, 355, train, 1.514874, 0.517578
2025-01-03 01:52:50,075, 356, train, 1.765284, 0.291241
2025-01-03 01:52:50,367, 357, train, 1.934443, 0.292368
2025-01-03 01:52:50,794, 358, train, 1.745591, 0.363281
2025-01-03 01:52:51,171, 359, train, 1.738212, 0.359375
2025-01-03 01:52:51,484, 360, train, 1.514707, 0.496094
2025-01-03 01:52:51,723, 361, train, 1.776327, 0.329928
2025-01-03 01:52:52,085, 362, train, 1.479946, 0.491157
2025-01-03 01:52:52,250, 363, train, 1.296852, 0.664062
2025-01-03 01:52:52,633, 364, train, 1.584937, 0.483259
2025-01-03 01:52:52,882, 365, train, 1.480856, 0.458894
2025-01-03 01:52:53,424, 366, train, 1.772217, 0.358624
2025-01-03 01:52:53,758, 367, train, 1.772367, 0.285156
2025-01-03 01:52:53,917, 368, train, 1.828603, 0.341146
2025-01-03 01:52:54,384, 369, train, 1.574541, 0.453125
2025-01-03 01:52:54,783, 370, train, 1.554997, 0.499474
2025-01-03 01:52:55,273, 371, train, 1.707939, 0.340278
2025-01-03 01:52:55,594, 372, train, 1.714405, 0.421875
2025-01-03 01:52:55,877, 373, train, 1.667080, 0.381250
2025-01-03 01:52:56,084, 374, train, 1.500055, 0.488281
2025-01-03 01:52:57,010, 374, eval, 1.789747, 0.336621
2025-01-03 01:52:57,330, 375, train, 1.594116, 0.453125
2025-01-03 01:52:57,795, 376, train, 1.589353, 0.427083
2025-01-03 01:52:58,161, 377, train, 1.372501, 0.536830
2025-01-03 01:52:58,611, 378, train, 1.660063, 0.415039
2025-01-03 01:52:59,085, 379, train, 1.634025, 0.398438
2025-01-03 01:52:59,381, 380, train, 1.590409, 0.441506
2025-01-03 01:52:59,759, 381, train, 1.706319, 0.401786
2025-01-03 01:53:00,229, 382, train, 1.666835, 0.390625
2025-01-03 01:53:00,439, 383, train, 1.614810, 0.496094
2025-01-03 01:53:00,817, 384, train, 1.412036, 0.535714
2025-01-03 01:53:01,199, 385, train, 1.519546, 0.491071
2025-01-03 01:53:01,775, 386, train, 1.699079, 0.392045
2025-01-03 01:53:01,923, 387, train, 1.688437, 0.419271
