2025-01-03 18:05:59,055, Iteration, Mode, loss, accuracy
2025-01-03 18:05:59,724, 0, train, 2.306476, 0.182812
2025-01-03 18:05:59,956, 1, train, 2.293019, 0.033203
2025-01-03 18:06:00,502, 2, train, 2.282809, 0.224826
2025-01-03 18:06:00,897, 3, train, 2.245681, 0.286830
2025-01-03 18:06:01,225, 4, train, 2.300636, 0.000000
2025-01-03 18:06:01,497, 5, train, 2.282036, 0.217187
2025-01-03 18:06:01,871, 6, train, 2.293975, 0.006696
2025-01-03 18:06:02,194, 7, train, 2.272738, 0.076823
2025-01-03 18:06:02,613, 8, train, 2.176268, 0.385417
2025-01-03 18:06:03,004, 9, train, 2.236470, 0.158482
2025-01-03 18:06:03,262, 10, train, 2.245456, 0.181250
2025-01-03 18:06:03,695, 11, train, 2.272780, 0.172852
2025-01-03 18:06:03,802, 12, train, 2.366580, 0.000000
2025-01-03 18:06:03,960, 13, train, 2.329541, 0.010417
2025-01-03 18:06:04,188, 14, train, 2.223388, 0.125000
2025-01-03 18:06:04,718, 15, train, 2.320039, 0.248437
2025-01-03 18:06:05,030, 16, train, 2.350298, 0.002604
2025-01-03 18:06:05,412, 17, train, 2.283037, 0.147321
2025-01-03 18:06:05,624, 18, train, 2.341042, 0.005859
2025-01-03 18:06:05,942, 19, train, 2.291329, 0.036458
2025-01-03 18:06:06,305, 20, train, 2.265188, 0.303571
2025-01-03 18:06:06,873, 21, train, 2.282593, 0.080966
2025-01-03 18:06:07,093, 22, train, 2.226503, 0.345703
2025-01-03 18:06:07,397, 23, train, 2.294593, 0.138021
2025-01-03 18:06:07,704, 24, train, 2.276901, 0.154948
2025-01-03 18:06:08,803, 24, eval, 2.289735, 0.121875
2025-01-03 18:06:09,072, 25, train, 2.249353, 0.165625
2025-01-03 18:06:09,419, 26, train, 2.319324, 0.027902
2025-01-03 18:06:09,705, 27, train, 2.281707, 0.161458
2025-01-03 18:06:10,230, 28, train, 2.284976, 0.232031
2025-01-03 18:06:10,593, 29, train, 2.247074, 0.205357
2025-01-03 18:06:10,912, 30, train, 2.251489, 0.132812
2025-01-03 18:06:10,968, 31, train, 2.317178, 0.078125
2025-01-03 18:06:11,326, 32, train, 2.280530, 0.120536
2025-01-03 18:06:11,642, 33, train, 2.280906, 0.180990
2025-01-03 18:06:11,861, 34, train, 2.301596, 0.138672
2025-01-03 18:06:12,277, 35, train, 2.289522, 0.090402
2025-01-03 18:06:12,738, 36, train, 2.233505, 0.239859
