2025-01-03 16:29:38,329, Iteration, Mode, loss, accuracy
2025-01-03 16:29:39,206, 0, train, 2.274653, 0.190104
2025-01-03 16:29:39,825, 1, train, 2.301034, 0.092448
2025-01-03 16:29:40,131, 2, train, 2.284894, 0.153646
2025-01-03 16:29:41,040, 3, train, 2.284184, 0.169271
2025-01-03 16:29:41,649, 4, train, 2.275434, 0.264323
2025-01-03 16:29:42,275, 5, train, 2.299873, 0.040365
2025-01-03 16:29:42,782, 6, train, 2.293063, 0.150000
2025-01-03 16:29:43,612, 7, train, 2.301684, 0.161133
2025-01-03 16:29:44,319, 8, train, 2.290025, 0.138393
2025-01-03 16:29:44,804, 9, train, 2.261405, 0.292188
2025-01-03 16:29:45,511, 10, train, 2.287159, 0.155134
2025-01-03 16:29:46,001, 11, train, 2.298127, 0.168750
2025-01-03 16:29:46,759, 12, train, 2.318102, 0.032227
2025-01-03 16:29:46,960, 13, train, 2.305504, 0.152344
2025-01-03 16:29:47,368, 14, train, 2.333691, 0.003906
2025-01-03 16:29:47,775, 15, train, 2.290812, 0.101562
2025-01-03 16:29:48,659, 16, train, 2.311161, 0.052951
2025-01-03 16:29:49,050, 17, train, 2.306412, 0.070312
2025-01-03 16:29:49,646, 18, train, 2.316321, 0.013021
2025-01-03 16:29:50,002, 19, train, 2.285733, 0.365234
2025-01-03 16:29:50,762, 20, train, 2.298416, 0.134766
2025-01-03 16:29:51,566, 21, train, 2.284571, 0.211914
2025-01-03 16:29:52,472, 22, train, 2.298384, 0.143750
2025-01-03 16:29:52,774, 23, train, 2.295901, 0.221354
2025-01-03 16:29:53,306, 24, train, 2.320618, 0.131510
2025-01-03 16:29:54,758, 24, eval, 2.303037, 0.114941
2025-01-03 16:29:55,166, 25, train, 2.284012, 0.085938
2025-01-03 16:29:55,652, 26, train, 2.321236, 0.120312
2025-01-03 16:29:56,009, 27, train, 2.294931, 0.085938
2025-01-03 16:29:56,595, 28, train, 2.294276, 0.145833
2025-01-03 16:29:57,496, 29, train, 2.297139, 0.146701
2025-01-03 16:29:58,262, 30, train, 2.300773, 0.195312
2025-01-03 16:29:58,746, 31, train, 2.325773, 0.018750
2025-01-03 16:29:58,747, 32, train, nan, nan
2025-01-03 16:29:59,416, 33, train, 2.316744, 0.035714
2025-01-03 16:29:59,800, 34, train, 2.307065, 0.042969
2025-01-03 16:30:00,364, 35, train, 2.306329, 0.032552
2025-01-03 16:30:00,823, 36, train, 2.300382, 0.010937
2025-01-03 16:30:01,712, 37, train, 2.299381, 0.131911
2025-01-03 16:30:02,625, 38, train, 2.308477, 0.100694
2025-01-03 16:30:03,239, 39, train, 2.293627, 0.096354
2025-01-03 16:30:03,999, 40, train, 2.302346, 0.117188
2025-01-03 16:30:04,463, 41, train, 2.299974, 0.028125
2025-01-03 16:30:04,567, 42, train, 2.336715, 0.007812
2025-01-03 16:30:05,533, 43, train, 2.325867, 0.010156
2025-01-03 16:30:06,435, 44, train, 2.299088, 0.085069
2025-01-03 16:30:06,768, 45, train, 2.292053, 0.019531
2025-01-03 16:30:07,455, 46, train, 2.319620, 0.020089
2025-01-03 16:30:08,218, 47, train, 2.292723, 0.100586
2025-01-03 16:30:08,723, 48, train, 2.301055, 0.178125
2025-01-03 16:30:09,462, 49, train, 2.311568, 0.016526
2025-01-03 16:30:10,895, 49, eval, 2.301535, 0.106934
2025-01-03 16:30:11,583, 50, train, 2.298055, 0.129464
2025-01-03 16:30:12,065, 51, train, 2.303291, 0.018630
2025-01-03 16:30:12,650, 52, train, 2.289884, 0.076823
2025-01-03 16:30:13,265, 53, train, 2.316062, 0.011161
2025-01-03 16:30:14,150, 54, train, 2.309536, 0.094618
2025-01-03 16:30:14,870, 55, train, 2.296417, 0.130580
2025-01-03 16:30:15,478, 56, train, 2.306665, 0.125000
2025-01-03 16:30:16,237, 57, train, 2.300906, 0.048828
2025-01-03 16:30:17,209, 58, train, 2.289269, 0.203906
2025-01-03 16:30:18,197, 59, train, 2.309443, 0.111719
2025-01-03 16:30:18,631, 60, train, 2.315972, 0.032812
2025-01-03 16:30:19,113, 61, train, 2.289470, 0.181250
2025-01-03 16:30:19,900, 62, train, 2.304698, 0.045898
2025-01-03 16:30:20,382, 63, train, 2.275223, 0.273438
2025-01-03 16:30:21,118, 64, train, 2.290841, 0.128756
2025-01-03 16:30:21,724, 65, train, 2.304062, 0.026042
2025-01-03 16:30:22,407, 66, train, 2.324724, 0.004464
2025-01-03 16:30:23,343, 67, train, 2.294461, 0.128786
2025-01-03 16:30:24,027, 68, train, 2.296376, 0.189732
2025-01-03 16:30:24,307, 69, train, 2.302266, 0.015625
2025-01-03 16:30:24,790, 70, train, 2.299146, 0.148438
2025-01-03 16:30:25,425, 71, train, 2.319834, 0.018973
2025-01-03 16:30:26,316, 72, train, 2.295241, 0.164483
2025-01-03 16:30:26,629, 73, train, 2.318558, 0.059896
2025-01-03 16:30:27,087, 74, train, 2.298393, 0.078125
2025-01-03 16:30:28,519, 74, eval, 2.299567, 0.121582
2025-01-03 16:30:29,229, 75, train, 2.302886, 0.116071
2025-01-03 16:30:29,713, 76, train, 2.305782, 0.064062
2025-01-03 16:30:30,019, 77, train, 2.292092, 0.096354
2025-01-03 16:30:30,983, 78, train, 2.291934, 0.250781
2025-01-03 16:30:31,767, 79, train, 2.288518, 0.317984
2025-01-03 16:30:32,182, 80, train, 2.310559, 0.033203
2025-01-03 16:30:32,843, 81, train, 2.296285, 0.112723
2025-01-03 16:30:33,245, 82, train, 2.284878, 0.167668
2025-01-03 16:30:34,082, 83, train, 2.307042, 0.065638
2025-01-03 16:30:34,451, 84, train, 2.297532, 0.060096
2025-01-03 16:30:35,347, 85, train, 2.297727, 0.110243
2025-01-03 16:30:36,058, 86, train, 2.319432, 0.004464
2025-01-03 16:30:36,541, 87, train, 2.291534, 0.193630
2025-01-03 16:30:36,898, 88, train, 2.304606, 0.044922
2025-01-03 16:30:37,706, 89, train, 2.279751, 0.272461
2025-01-03 16:30:38,290, 90, train, 2.298808, 0.063802
2025-01-03 16:30:38,793, 91, train, 2.292222, 0.189063
2025-01-03 16:30:39,580, 92, train, 2.292214, 0.138672
2025-01-03 16:30:40,442, 93, train, 2.299457, 0.128472
2025-01-03 16:30:40,809, 94, train, 2.288422, 0.193359
2025-01-03 16:30:41,292, 95, train, 2.306826, 0.034375
2025-01-03 16:30:41,878, 96, train, 2.296221, 0.128906
2025-01-03 16:30:42,819, 97, train, 2.307181, 0.079627
2025-01-03 16:30:43,278, 98, train, 2.299590, 0.068750
2025-01-03 16:30:44,060, 99, train, 2.289135, 0.170898
2025-01-03 16:30:45,492, 99, eval, 2.298053, 0.121289
2025-01-03 16:30:45,824, 100, train, 2.288661, 0.248047
2025-01-03 16:30:46,512, 101, train, 2.289517, 0.165039
2025-01-03 16:30:47,117, 102, train, 2.303574, 0.158854
2025-01-03 16:30:47,674, 103, train, 2.290783, 0.141627
2025-01-03 16:30:48,283, 104, train, 2.293139, 0.111979
2025-01-03 16:30:49,047, 105, train, 2.289891, 0.081731
2025-01-03 16:30:49,304, 106, train, 2.306943, 0.036458
2025-01-03 16:30:49,892, 107, train, 2.292898, 0.162560
2025-01-03 16:30:50,500, 108, train, 2.299251, 0.130208
2025-01-03 16:30:51,084, 109, train, 2.292866, 0.165365
2025-01-03 16:30:51,767, 110, train, 2.298202, 0.085938
2025-01-03 16:30:52,661, 111, train, 2.302295, 0.073017
2025-01-03 16:30:53,346, 112, train, 2.301375, 0.074777
2025-01-03 16:30:53,881, 113, train, 2.301458, 0.109675
2025-01-03 16:30:54,467, 114, train, 2.285698, 0.251302
2025-01-03 16:30:55,229, 115, train, 2.302786, 0.079627
2025-01-03 16:30:55,462, 116, train, 2.290840, 0.114183
2025-01-03 16:30:56,055, 117, train, 2.299427, 0.113281
2025-01-03 16:30:56,636, 118, train, 2.292264, 0.177083
2025-01-03 16:30:57,219, 119, train, 2.303692, 0.035156
2025-01-03 16:30:57,801, 120, train, 2.287721, 0.098958
2025-01-03 16:30:58,493, 121, train, 2.311109, 0.046875
2025-01-03 16:30:58,875, 122, train, 2.309276, 0.021484
2025-01-03 16:30:59,684, 123, train, 2.294941, 0.183594
2025-01-03 16:31:00,193, 124, train, 2.305416, 0.128125
2025-01-03 16:31:01,625, 124, eval, 2.296594, 0.121973
2025-01-03 16:31:02,311, 125, train, 2.291060, 0.145089
2025-01-03 16:31:02,592, 126, train, 2.273061, 0.367188
2025-01-03 16:31:03,210, 127, train, 2.295584, 0.105469
2025-01-03 16:31:04,070, 128, train, 2.299557, 0.070780
2025-01-03 16:31:04,730, 129, train, 2.304386, 0.046875
2025-01-03 16:31:05,465, 130, train, 2.290638, 0.158428
2025-01-03 16:31:06,099, 131, train, 2.302880, 0.142857
2025-01-03 16:31:06,778, 132, train, 2.306054, 0.052455
2025-01-03 16:31:07,156, 133, train, 2.286511, 0.134165
