2025-01-03 00:46:22,040, Iteration, Mode, loss, accuracy
2025-01-03 00:46:22,920, 0, train, 2.289803, 0.100000
2025-01-03 00:46:23,171, 1, train, 2.287705, 0.044922
2025-01-03 00:46:23,692, 2, train, 2.296405, 0.184896
2025-01-03 00:46:24,089, 3, train, 2.305372, 0.069196
2025-01-03 00:46:24,420, 4, train, 2.287892, 0.231771
2025-01-03 00:46:24,696, 5, train, 2.309207, 0.084375
2025-01-03 00:46:25,077, 6, train, 2.287525, 0.150670
2025-01-03 00:46:25,407, 7, train, 2.288060, 0.296875
2025-01-03 00:46:25,824, 8, train, 2.343558, 0.014323
2025-01-03 00:46:26,230, 9, train, 2.303261, 0.170759
2025-01-03 00:46:26,493, 10, train, 2.279923, 0.176563
2025-01-03 00:46:26,926, 11, train, 2.292841, 0.128906
2025-01-03 00:46:27,034, 12, train, 2.291115, 0.105469
2025-01-03 00:46:27,200, 13, train, 2.277238, 0.138021
2025-01-03 00:46:27,426, 14, train, 2.283043, 0.210938
2025-01-03 00:46:27,960, 15, train, 2.313709, 0.067188
2025-01-03 00:46:28,322, 16, train, 2.307495, 0.108073
2025-01-03 00:46:28,717, 17, train, 2.302136, 0.087054
2025-01-03 00:46:28,934, 18, train, 2.295372, 0.093750
2025-01-03 00:46:29,265, 19, train, 2.298503, 0.111979
2025-01-03 00:46:29,650, 20, train, 2.308158, 0.161830
2025-01-03 00:46:30,246, 21, train, 2.304030, 0.072443
2025-01-03 00:46:30,464, 22, train, 2.288391, 0.177734
2025-01-03 00:46:30,785, 23, train, 2.294091, 0.058594
2025-01-03 00:46:31,096, 24, train, 2.315047, 0.037760
2025-01-03 00:46:32,154, 24, eval, 2.301174, 0.113184
2025-01-03 00:46:32,429, 25, train, 2.289953, 0.209375
2025-01-03 00:46:32,789, 26, train, 2.298939, 0.093750
2025-01-03 00:46:33,094, 27, train, 2.292912, 0.157552
2025-01-03 00:46:33,629, 28, train, 2.285628, 0.166406
2025-01-03 00:46:33,997, 29, train, 2.291087, 0.125000
2025-01-03 00:46:34,322, 30, train, 2.292741, 0.076823
2025-01-03 00:46:34,383, 31, train, 2.277253, 0.210938
2025-01-03 00:46:34,749, 32, train, 2.296091, 0.151786
2025-01-03 00:46:35,073, 33, train, 2.304274, 0.062500
2025-01-03 00:46:35,312, 34, train, 2.285115, 0.201172
2025-01-03 00:46:35,682, 35, train, 2.313398, 0.088170
2025-01-03 00:46:36,122, 36, train, 2.299233, 0.085637
2025-01-03 00:46:36,631, 37, train, 2.290800, 0.163194
2025-01-03 00:46:36,956, 38, train, 2.311733, 0.106170
2025-01-03 00:46:37,501, 39, train, 2.305252, 0.110937
2025-01-03 00:46:37,707, 40, train, 2.285362, 0.320312
2025-01-03 00:46:37,810, 41, train, 2.299922, 0.113281
2025-01-03 00:46:38,322, 42, train, 2.292123, 0.138281
2025-01-03 00:46:38,647, 43, train, 2.297244, 0.127604
2025-01-03 00:46:38,860, 44, train, 2.304456, 0.195312
2025-01-03 00:46:39,235, 45, train, 2.285461, 0.104911
2025-01-03 00:46:39,619, 46, train, 2.294240, 0.217634
2025-01-03 00:46:39,846, 47, train, 2.292103, 0.173828
2025-01-03 00:46:40,368, 48, train, 2.298563, 0.135457
2025-01-03 00:46:40,680, 49, train, 2.283988, 0.236979
2025-01-03 00:46:41,663, 49, eval, 2.299138, 0.127734
2025-01-03 00:46:41,982, 50, train, 2.281291, 0.248698
2025-01-03 00:46:42,320, 51, train, 2.307165, 0.074262
2025-01-03 00:46:42,713, 52, train, 2.284277, 0.126116
2025-01-03 00:46:43,203, 53, train, 2.288419, 0.145833
2025-01-03 00:46:43,520, 54, train, 2.306873, 0.118490
2025-01-03 00:46:43,861, 55, train, 2.302531, 0.067708
2025-01-03 00:46:44,275, 56, train, 2.301710, 0.075195
2025-01-03 00:46:44,708, 57, train, 2.296575, 0.128906
2025-01-03 00:46:45,141, 58, train, 2.304147, 0.053711
2025-01-03 00:46:45,311, 59, train, 2.284083, 0.171875
2025-01-03 00:46:45,467, 60, train, 2.302800, 0.101562
2025-01-03 00:46:45,885, 61, train, 2.297867, 0.130334
2025-01-03 00:46:46,258, 62, train, 2.303004, 0.101734
2025-01-03 00:46:46,739, 63, train, 2.299954, 0.091213
2025-01-03 00:46:47,154, 64, train, 2.298624, 0.142578
2025-01-03 00:46:47,481, 65, train, 2.286486, 0.141827
2025-01-03 00:46:47,963, 66, train, 2.289851, 0.212674
2025-01-03 00:46:48,344, 67, train, 2.310083, 0.071429
2025-01-03 00:46:48,399, 68, train, 2.284355, 0.031250
2025-01-03 00:46:48,609, 69, train, 2.282238, 0.174429
2025-01-03 00:46:48,884, 70, train, 2.278690, 0.310096
2025-01-03 00:46:49,325, 71, train, 2.296837, 0.145508
2025-01-03 00:46:49,659, 72, train, 2.302294, 0.049479
2025-01-03 00:46:49,986, 73, train, 2.300055, 0.031250
2025-01-03 00:46:50,357, 74, train, 2.287699, 0.106456
2025-01-03 00:46:51,342, 74, eval, 2.297069, 0.134863
2025-01-03 00:46:51,603, 75, train, 2.295969, 0.066346
2025-01-03 00:46:51,776, 76, train, 2.273987, 0.416667
2025-01-03 00:46:52,352, 77, train, 2.311447, 0.046094
2025-01-03 00:46:52,691, 78, train, 2.310794, 0.029948
2025-01-03 00:46:52,979, 79, train, 2.289354, 0.168750
2025-01-03 00:46:53,454, 80, train, 2.306313, 0.056920
2025-01-03 00:46:53,715, 81, train, 2.324380, 0.013942
2025-01-03 00:46:54,046, 82, train, 2.273348, 0.197917
2025-01-03 00:46:54,271, 83, train, 2.307705, 0.136719
2025-01-03 00:46:54,694, 84, train, 2.280135, 0.273438
2025-01-03 00:46:55,134, 85, train, 2.279045, 0.145508
2025-01-03 00:46:55,343, 86, train, 2.299111, 0.023438
2025-01-03 00:46:55,444, 87, train, 2.272268, 0.253906
2025-01-03 00:46:55,761, 88, train, 2.302535, 0.131510
2025-01-03 00:46:56,092, 89, train, 2.276082, 0.302083
2025-01-03 00:46:56,345, 90, train, 2.315465, 0.032332
2025-01-03 00:46:56,869, 91, train, 2.285920, 0.174159
2025-01-03 00:46:57,498, 92, train, 2.285597, 0.186248
2025-01-03 00:46:57,704, 93, train, 2.287749, 0.144531
2025-01-03 00:46:57,913, 94, train, 2.278605, 0.164062
2025-01-03 00:46:58,174, 95, train, 2.298001, 0.160938
2025-01-03 00:46:58,783, 96, train, 2.294659, 0.129657
